run_id,id,eval_loss,eval_accuracy,eval_f1,eval_precision,eval_recall,eval_runtime,eval_samples_per_second,epoch,run,testset
1,0,,0.8954,,,,,,,pretrained/bert-base-uncased-ag_news-ORIG+ORIG,ORIG
1,1,,0.799,,,,,,,pretrained/bert-base-uncased-ag_news-ORIG+ORIG,20NG
1,2,,0.9017,,,,,,,pretrained/bert-base-uncased-ag_news-ORIG+INV,ORIG
1,3,,0.8603,,,,,,,pretrained/bert-base-uncased-ag_news-ORIG+INV,20NG
1,4,,0.9011,,,,,,,pretrained/bert-base-uncased-ag_news-ORIG+SIB,ORIG
1,5,,0.8041,,,,,,,pretrained/bert-base-uncased-ag_news-ORIG+SIB,20NG
1,6,,0.902,,,,,,,pretrained/bert-base-uncased-ag_news-ORIG+INVSIB,ORIG
1,7,,0.721,,,,,,,pretrained/bert-base-uncased-ag_news-ORIG+INVSIB,20NG
1,8,,0.925,,,,,,,pretrained/bert-base-uncased-ag_news-ORIG+TextMix,ORIG
1,9,,0.8046,,,,,,,pretrained/bert-base-uncased-ag_news-ORIG+TextMix,20NG
1,10,,0.9234,,,,,,,pretrained/bert-base-uncased-ag_news-ORIG+SentMix,ORIG
1,11,,0.8697,,,,,,,pretrained/bert-base-uncased-ag_news-ORIG+SentMix,20NG
1,12,,0.9189,,,,,,,pretrained/bert-base-uncased-ag_news-ORIG+WordMix,ORIG
1,13,,0.8854,,,,,,,pretrained/bert-base-uncased-ag_news-ORIG+WordMix,20NG
1,14,,0.8901,,,,,,,pretrained/roberta-base-ag_news-ORIG+ORIG,ORIG
1,15,,0.8067,,,,,,,pretrained/roberta-base-ag_news-ORIG+ORIG,20NG
1,16,,0.9126,,,,,,,pretrained/roberta-base-ag_news-ORIG+INV,ORIG
1,17,,0.8386,,,,,,,pretrained/roberta-base-ag_news-ORIG+INV,20NG
1,18,,0.9146,,,,,,,pretrained/roberta-base-ag_news-ORIG+SIB,ORIG
1,19,,0.8153,,,,,,,pretrained/roberta-base-ag_news-ORIG+SIB,20NG
1,20,,0.9172,,,,,,,pretrained/roberta-base-ag_news-ORIG+INVSIB,ORIG
1,21,,0.8614,,,,,,,pretrained/roberta-base-ag_news-ORIG+INVSIB,20NG
1,22,,0.903,,,,,,,pretrained/roberta-base-ag_news-ORIG+TextMix,ORIG
1,23,,0.8883,,,,,,,pretrained/roberta-base-ag_news-ORIG+TextMix,20NG
1,24,,0.9276,,,,,,,pretrained/roberta-base-ag_news-ORIG+SentMix,ORIG
1,25,,0.8593,,,,,,,pretrained/roberta-base-ag_news-ORIG+SentMix,20NG
1,26,,0.9267,,,,,,,pretrained/roberta-base-ag_news-ORIG+WordMix,ORIG
1,27,,0.8327,,,,,,,pretrained/roberta-base-ag_news-ORIG+WordMix,20NG
1,28,,0.8913,,,,,,,pretrained/xlnet-base-cased-ag_news-ORIG+ORIG,ORIG
1,29,,0.8524,,,,,,,pretrained/xlnet-base-cased-ag_news-ORIG+ORIG,20NG
1,30,,0.9162,,,,,,,pretrained/xlnet-base-cased-ag_news-ORIG+INV,ORIG
1,31,,0.7438,,,,,,,pretrained/xlnet-base-cased-ag_news-ORIG+INV,20NG
1,32,,0.9019,,,,,,,pretrained/xlnet-base-cased-ag_news-ORIG+SIB,ORIG
1,33,,0.9001,,,,,,,pretrained/xlnet-base-cased-ag_news-ORIG+SIB,20NG
1,34,,0.9158,,,,,,,pretrained/xlnet-base-cased-ag_news-ORIG+INVSIB,ORIG
1,35,,0.8176,,,,,,,pretrained/xlnet-base-cased-ag_news-ORIG+INVSIB,20NG
1,36,,0.9166,,,,,,,pretrained/xlnet-base-cased-ag_news-ORIG+TextMix,ORIG
1,37,,0.8674,,,,,,,pretrained/xlnet-base-cased-ag_news-ORIG+TextMix,20NG
1,38,,0.9271,,,,,,,pretrained/xlnet-base-cased-ag_news-ORIG+SentMix,ORIG
1,39,,0.8192,,,,,,,pretrained/xlnet-base-cased-ag_news-ORIG+SentMix,20NG
1,40,,0.9146,,,,,,,pretrained/xlnet-base-cased-ag_news-ORIG+WordMix,ORIG
1,41,,0.8668,,,,,,,pretrained/xlnet-base-cased-ag_news-ORIG+WordMix,20NG
1,42,24.4805,0.9343,0.9343,0.9342,0.9343,62,123,2.81,pretrained/bert-base-uncased-targeted-TextMix,ORIG
1,43,26.8178,0.9329,0.9329,0.9337,0.9329,62,123,5.26,pretrained/bert-base-uncased-targeted-SentMix,ORIG
1,44,20.7999,0.9100,0.9097,0.9114,0.9100,62,123,2.11,pretrained/bert-base-uncased-targeted-WordMix,ORIG
1,45,23.6088,0.9300,0.9303,0.9313,0.9300,61,125,2.28,pretrained/roberta-base-targeted-TextMix,ORIG
1,46,23.4108,0.9351,0.9353,0.9361,0.9351,61,126,3.16,pretrained/roberta-base-targeted-SentMix,ORIG
1,47,21.0836,0.9174,0.9175,0.9179,0.9174,61,124,3.51,pretrained/roberta-base-targeted-WordMix,ORIG
1,48,29.7666,0.9384,0.9383,0.9387,0.9384,138,55,8.07,pretrained/xlnet-base-cased-targeted-TextMix,ORIG
1,49,22.8468,0.9337,0.9337,0.9342,0.9337,138,55,2.46,pretrained/xlnet-base-cased-targeted-SentMix,ORIG
1,50,19.8788,0.9064,0.9063,0.9085,0.9064,138,55,2.28,pretrained/xlnet-base-cased-targeted-WordMix,ORIG
2,0,0.4033,0.9097,0.9094,0.9093,0.9097,100,76,0.42,pretrained/bert-base-uncased-ag_news-ORIG+ORIG,ORIG
2,1,0.7386,0.837,0.6281,0.6296,0.6327,91,76,0.42,pretrained/bert-base-uncased-ag_news-ORIG+ORIG,20NG
2,2,0.3881,0.9196,0.9194,0.9199,0.9196,100,76,0.28,pretrained/bert-base-uncased-ag_news-ORIG+INV,ORIG
2,3,0.6265,0.846,0.647,0.6649,0.6314,90,76,0.28,pretrained/bert-base-uncased-ag_news-ORIG+INV,20NG
2,4,28.3225,0.9166,0.9164,0.9167,0.9166,99,76,0.32,pretrained/bert-base-uncased-ag_news-ORIG+SIB,ORIG
2,5,30.4923,0.8378,0.6353,0.65,0.63,90,76,0.32,pretrained/bert-base-uncased-ag_news-ORIG+SIB,20NG
2,6,29.8626,0.9124,0.9121,0.9125,0.9124,100,76,0.28,pretrained/bert-base-uncased-ag_news-ORIG+INVSIB,ORIG
2,7,32.2601,0.8437,0.6348,0.6406,0.6334,91,76,0.28,pretrained/bert-base-uncased-ag_news-ORIG+INVSIB,20NG
2,8,30.8972,0.9222,0.9222,0.9226,0.9222,99,77,0.32,pretrained/bert-base-uncased-ag_news-ORIG+TextMix,ORIG
2,9,35.2543,0.8828,0.6528,0.6748,0.6336,90,77,0.32,pretrained/bert-base-uncased-ag_news-ORIG+TextMix,20NG
2,10,28.1669,0.9234,0.9232,0.9234,0.9234,100,76,0.21,pretrained/bert-base-uncased-ag_news-ORIG+SentMix,ORIG
2,11,31.7156,0.861,0.6217,0.656,0.5997,91,76,0.21,pretrained/bert-base-uncased-ag_news-ORIG+SentMix,20NG
2,12,29.5814,0.9196,0.9197,0.9207,0.9196,100,76,0.2,pretrained/bert-base-uncased-ag_news-ORIG+WordMix,ORIG
2,13,34.0894,0.8664,0.638,0.6449,0.6326,90,76,0.2,pretrained/bert-base-uncased-ag_news-ORIG+WordMix,20NG
2,14,0.4765,0.9091,0.909,0.9104,0.9091,98,77,0.37,pretrained/roberta-base-ag_news-ORIG+ORIG,ORIG
2,15,0.6181,0.8723,0.6426,0.6457,0.6408,90,77,0.37,pretrained/roberta-base-ag_news-ORIG+ORIG,20NG
2,16,0.4192,0.9154,0.9154,0.9156,0.9154,98,77,0.3,pretrained/roberta-base-ag_news-ORIG+INV,ORIG
2,17,0.8295,0.7922,0.6254,0.6625,0.5956,90,77,0.3,pretrained/roberta-base-ag_news-ORIG+INV,20NG
2,18,28.4147,0.9139,0.9139,0.9147,0.9139,98,78,0.22,pretrained/roberta-base-ag_news-ORIG+SIB,ORIG
2,19,35.0621,0.8622,0.6337,0.6728,0.6057,89,77,0.22,pretrained/roberta-base-ag_news-ORIG+SIB,20NG
2,20,28.7585,0.9167,0.9166,0.9166,0.9167,98,78,0.33,pretrained/roberta-base-ag_news-ORIG+INVSIB,ORIG
2,21,34.0014,0.8218,0.6222,0.6439,0.6081,89,77,0.33,pretrained/roberta-base-ag_news-ORIG+INVSIB,20NG
2,22,24.3272,0.9046,0.9042,0.9042,0.9046,98,78,0.16,pretrained/roberta-base-ag_news-ORIG+TextMix,ORIG
2,23,29.2012,0.8986,0.6643,0.6698,0.6593,89,77,0.16,pretrained/roberta-base-ag_news-ORIG+TextMix,20NG
2,24,28.7189,0.9266,0.9264,0.928,0.9266,98,78,0.25,pretrained/roberta-base-ag_news-ORIG+SentMix,ORIG
2,25,34.0661,0.8336,0.5909,0.6686,0.5524,89,77,0.25,pretrained/roberta-base-ag_news-ORIG+SentMix,20NG
2,26,29.939,0.9242,0.9241,0.9242,0.9242,98,77,0.2,pretrained/roberta-base-ag_news-ORIG+WordMix,ORIG
2,27,35.7647,0.8315,0.6125,0.6178,0.6137,89,77,0.2,pretrained/roberta-base-ag_news-ORIG+WordMix,20NG
2,28,0.4715,0.913,0.9129,0.913,0.913,238,32,0.39,pretrained/xlnet-base-cased-ag_news-ORIG+ORIG,ORIG
2,29,0.8703,0.8497,0.6539,0.6732,0.6365,202,34,0.39,pretrained/xlnet-base-cased-ag_news-ORIG+ORIG,20NG
2,30,0.421,0.9158,0.9156,0.9156,0.9158,237,32,0.37,pretrained/xlnet-base-cased-ag_news-ORIG+INV,ORIG
2,31,0.6511,0.8264,0.604,0.6114,0.6068,201,34,0.37,pretrained/xlnet-base-cased-ag_news-ORIG+INV,20NG
2,32,32.7797,0.9113,0.9102,0.9144,0.9113,222,34,0.26,pretrained/xlnet-base-cased-ag_news-ORIG+SIB,ORIG
2,33,39.7303,0.8779,0.6392,0.6341,0.6524,201,34,0.26,pretrained/xlnet-base-cased-ag_news-ORIG+SIB,20NG
2,34,30.5595,0.9113,0.9112,0.9115,0.9113,221,34,0.33,pretrained/xlnet-base-cased-ag_news-ORIG+INVSIB,ORIG
2,35,36.0621,0.8171,0.5922,0.5996,0.5965,200,34,0.33,pretrained/xlnet-base-cased-ag_news-ORIG+INVSIB,20NG
2,36,30.5145,0.9191,0.9192,0.9206,0.9191,222,34,0.28,pretrained/xlnet-base-cased-ag_news-ORIG+TextMix,ORIG
2,37,35.8018,0.8263,0.6344,0.692,0.5889,201,34,0.28,pretrained/xlnet-base-cased-ag_news-ORIG+TextMix,20NG
2,38,29.356,0.9214,0.9213,0.9219,0.9214,222,34,0.25,pretrained/xlnet-base-cased-ag_news-ORIG+SentMix,ORIG
2,39,35.5782,0.8205,0.5908,0.5861,0.6057,201,34,0.25,pretrained/xlnet-base-cased-ag_news-ORIG+SentMix,20NG
2,40,34.0215,0.9229,0.923,0.9236,0.9229,222,34,0.18,pretrained/xlnet-base-cased-ag_news-ORIG+WordMix,ORIG
2,41,38.6467,0.8171,0.6138,0.6271,0.6219,201,34,0.18,pretrained/xlnet-base-cased-ag_news-ORIG+WordMix,20NG
2,42,27.0711,0.9307,0.9307,0.9310,0.9307,62,123,5.26,pretrained/bert-base-uncased-targeted-TextMix,ORIG
2,43,24.8611,0.9299,0.9302,0.9314,0.9299,62,123,3.68,pretrained/bert-base-uncased-targeted-SentMix,ORIG
2,44,21.5013,0.9086,0.9086,0.9087,0.9086,62,123,1.93,pretrained/bert-base-uncased-targeted-WordMix,ORIG
2,45,25.2433,0.9361,0.9360,0.9362,0.9361,61,124,5.18,pretrained/roberta-base-targeted-TextMix,ORIG
2,46,25.5336,0.9375,0.9376,0.9383,0.9375,61,124,4.3,pretrained/roberta-base-targeted-SentMix,ORIG
2,47,21.7014,0.9088,0.9088,0.9106,0.9088,62,123,3.25,pretrained/roberta-base-targeted-WordMix,ORIG
2,48,27.1538,0.9329,0.9329,0.9334,0.9329,138,55,6.58,pretrained/xlnet-base-cased-targeted-TextMix,ORIG
2,49,24.2506,0.9359,0.9360,0.9363,0.9359,139,55,4.12,pretrained/xlnet-base-cased-targeted-SentMix,ORIG
2,50,20.2595,0.9162,0.9163,0.9169,0.9162,138,55,2.81,pretrained/xlnet-base-cased-targeted-WordMix,ORIG
3,0,0.4907,0.9088,0.9086,0.9108,0.9088,99,76,1.58,pretrained/bert-base-uncased-ag_news-ORIG+ORIG,ORIG
